building,n_triples,n_entities,n_predicates,n_classes,n_target,n_non_target,avg_degree,n_components,errors,parse_errors
bldg1,448,160,8,28,135,313,4.494,3,0,
bldg10,384,136,8,16,129,255,4.699,3,0,
bldg11,7707,2603,8,37,2948,4759,5.087,4,0,
bldg12,2623,1000,7,34,1057,1566,4.656,3,0,
bldg13,710,259,8,36,238,472,4.529,4,0,
bldg14,53,30,7,14,12,41,2.767,3,0,
bldg15,4635,1454,8,40,1536,3099,5.219,3,0,
bldg16,81,38,6,9,20,61,3.421,3,0,
bldg17,48,27,6,12,11,37,2.741,3,0,
bldg18,2981,962,8,31,1067,1914,5.186,4,0,
bldg19,254,92,7,24,64,190,4.304,3,0,
bldg2,516,192,8,26,182,334,4.516,4,0,
bldg20,423,158,8,29,137,286,4.386,3,0,
bldg21,200,79,7,25,49,151,3.911,4,0,
bldg22,243,96,8,27,66,177,4.021,3,0,
bldg23,138,57,7,18,35,103,3.772,3,0,
bldg24,15,12,6,6,2,13,2.0,3,0,
bldg25,98,51,8,20,28,70,3.118,3,0,
bldg26,176,75,7,26,44,132,3.627,4,0,
bldg27,571,206,8,21,196,375,4.631,3,0,
bldg28,719,308,8,35,311,408,4.24,4,0,
bldg29,64,35,7,16,15,49,2.857,3,0,
bldg3,52,31,7,15,12,40,2.613,3,0,
bldg30,2422,829,7,20,907,1515,5.111,2,0,
bldg31,29,19,6,8,6,23,2.421,4,0,
bldg32,3652,1086,8,28,1154,2498,5.413,3,0,
bldg33,24,20,7,10,4,20,1.95,5,0,
bldg34,1311,446,8,38,441,870,4.854,4,0,
bldg35,377,117,7,19,93,284,5.128,4,0,
bldg36,726,258,8,18,276,450,4.814,4,0,
bldg37,10963,3915,7,43,4146,6817,4.852,3,0,
bldg38,60,31,6,10,17,43,3.355,3,0,
bldg39,448,204,7,34,182,266,3.931,4,0,
bldg4,791,282,8,39,265,526,4.613,4,0,
bldg40,1906,647,8,38,689,1217,4.958,4,0,
bldg41,124,67,6,24,39,85,3.134,3,0,
bldg42,635,260,7,33,233,402,4.25,4,0,
bldg43,1273,505,7,24,524,749,4.511,5,0,
bldg44,922,382,7,38,370,552,4.298,4,0,
bldg5,2967,953,8,32,1030,1937,5.173,4,0,
bldg6,3490,1108,8,34,1185,2305,5.186,4,0,
bldg7,358,117,7,20,93,265,4.761,3,0,
bldg8,861,300,8,33,285,576,4.717,3,0,
bldg9,2950,969,8,37,1051,1899,5.095,3,0,
